epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2594.23,1.00713,0.79963,1.12352,0.91109,0.67927,0.75885,0.55765,0.83421,0.59302,0.95697,0.000613372,0.000613372,0.000613372
60,2638.15,0.97592,0.77601,1.1076,0.90119,0.686,0.75759,0.55294,0.81766,0.61908,0.94937,0.000606706,0.000606706,0.000606706
61,2681.99,0.98358,0.76613,1.10603,0.88721,0.69536,0.76378,0.56834,0.79995,0.58592,0.9442,0.00060004,0.00060004,0.00060004
62,2726.01,0.94392,0.74301,1.09017,0.90271,0.6814,0.75982,0.55585,0.83646,0.59463,0.95622,0.000593374,0.000593374,0.000593374
63,2769.87,0.9707,0.76543,1.10879,0.91889,0.67057,0.76353,0.56451,0.81144,0.5783,0.94484,0.000586708,0.000586708,0.000586708
64,2813.87,0.96925,0.7637,1.10184,0.88757,0.68898,0.76868,0.56636,0.84634,0.59389,0.95402,0.000580042,0.000580042,0.000580042
65,2858.19,0.9789,0.78394,1.11348,0.92174,0.6986,0.7677,0.57863,0.79409,0.57448,0.93996,0.000573376,0.000573376,0.000573376
66,2902.32,0.9633,0.75241,1.10044,0.88307,0.70612,0.75849,0.56562,0.80739,0.58725,0.94449,0.00056671,0.00056671,0.00056671
67,2946.4,0.96185,0.75023,1.09675,0.8901,0.68328,0.75837,0.57323,0.76621,0.57194,0.93632,0.000560044,0.000560044,0.000560044
68,2990.7,0.95152,0.75428,1.08486,0.91455,0.68422,0.76424,0.57375,0.76325,0.57323,0.92541,0.000553378,0.000553378,0.000553378
69,3034.54,0.94516,0.73786,1.08547,0.92107,0.68816,0.77856,0.5867,0.75195,0.56232,0.92454,0.000546712,0.000546712,0.000546712
70,3078.64,0.93444,0.73622,1.08841,0.91073,0.68914,0.76933,0.58141,0.77167,0.55499,0.92803,0.000540046,0.000540046,0.000540046
71,3122.8,0.94774,0.74196,1.08638,0.90479,0.70764,0.77556,0.58697,0.75139,0.55114,0.92209,0.00053338,0.00053338,0.00053338
72,3167.03,0.93831,0.73125,1.08349,0.88712,0.72024,0.78273,0.58282,0.77244,0.55137,0.93446,0.000526714,0.000526714,0.000526714
73,3211.19,0.92085,0.71235,1.08067,0.90235,0.67547,0.76685,0.59085,0.7134,0.5747,0.91324,0.000520048,0.000520048,0.000520048
74,3255.28,0.92661,0.72252,1.08267,0.89629,0.69566,0.77423,0.58201,0.78535,0.5462,0.92554,0.000513382,0.000513382,0.000513382
75,3299.42,0.90648,0.69432,1.06415,0.92238,0.68482,0.77008,0.58431,0.75733,0.55283,0.91503,0.000506716,0.000506716,0.000506716
76,3343.61,0.90964,0.70872,1.07133,0.90537,0.69264,0.76851,0.58442,0.74533,0.55147,0.91173,0.00050005,0.00050005,0.00050005
77,3387.69,0.9131,0.71145,1.07502,0.9018,0.70377,0.77956,0.58572,0.76421,0.52781,0.92703,0.000493384,0.000493384,0.000493384
78,3431.62,0.90943,0.71591,1.07781,0.91796,0.70201,0.77932,0.59009,0.74458,0.53368,0.92552,0.000486718,0.000486718,0.000486718
79,3475.86,0.90262,0.69032,1.06893,0.90251,0.71299,0.78023,0.58938,0.75886,0.53507,0.92484,0.000480052,0.000480052,0.000480052
80,3519.83,0.90729,0.69373,1.06764,0.89499,0.70534,0.77429,0.58663,0.74835,0.55574,0.92188,0.000473386,0.000473386,0.000473386
81,3563.7,0.88925,0.68371,1.05583,0.91572,0.68874,0.77759,0.59377,0.73457,0.52991,0.91892,0.00046672,0.00046672,0.00046672
82,3607.82,0.8781,0.67737,1.05579,0.8845,0.71373,0.78145,0.59649,0.74058,0.52078,0.90992,0.000460054,0.000460054,0.000460054
83,3652.17,0.88908,0.68553,1.06117,0.91077,0.70165,0.77823,0.59222,0.75914,0.53597,0.91258,0.000453388,0.000453388,0.000453388
84,3696.35,0.87608,0.67854,1.05813,0.89422,0.71062,0.77083,0.59507,0.70995,0.53332,0.90571,0.000446722,0.000446722,0.000446722
85,3740.32,0.87076,0.68009,1.05392,0.92117,0.69326,0.77261,0.5958,0.71713,0.53522,0.9047,0.000440056,0.000440056,0.000440056
86,3784.05,0.87971,0.67191,1.05262,0.90419,0.71454,0.78233,0.61038,0.68445,0.51836,0.90328,0.00043339,0.00043339,0.00043339
87,3828.36,0.87462,0.66759,1.04994,0.90525,0.68079,0.77276,0.59814,0.69511,0.5275,0.91782,0.000426724,0.000426724,0.000426724
88,3872.49,0.86215,0.66468,1.04548,0.87417,0.70383,0.77168,0.61012,0.65949,0.51027,0.89756,0.000420058,0.000420058,0.000420058
89,3916.42,0.8541,0.66896,1.04462,0.88437,0.70556,0.78083,0.5937,0.74629,0.52183,0.92327,0.000413392,0.000413392,0.000413392
90,3960.42,0.8596,0.67047,1.05121,0.92517,0.6935,0.78974,0.60415,0.70734,0.51486,0.91515,0.000406726,0.000406726,0.000406726
91,4004.61,0.85384,0.65363,1.04691,0.93857,0.69305,0.78295,0.59733,0.72336,0.52795,0.91305,0.00040006,0.00040006,0.00040006
92,4048.58,0.86194,0.66001,1.05071,0.92565,0.69063,0.77793,0.60361,0.68765,0.52046,0.90206,0.000393394,0.000393394,0.000393394
93,4092.54,0.85238,0.6439,1.04369,0.91534,0.70056,0.77857,0.60098,0.70529,0.5052,0.90414,0.000386728,0.000386728,0.000386728
94,4136.78,0.86551,0.66725,1.05297,0.90211,0.70916,0.78583,0.60584,0.70288,0.51041,0.90912,0.000380062,0.000380062,0.000380062
95,4181.01,0.83671,0.64756,1.03821,0.92696,0.6899,0.78331,0.60486,0.69544,0.50751,0.90657,0.000373396,0.000373396,0.000373396
96,4224.96,0.85042,0.64878,1.04191,0.90232,0.71579,0.7878,0.59929,0.71322,0.51878,0.90615,0.00036673,0.00036673,0.00036673
97,4268.93,0.84611,0.63339,1.03438,0.88087,0.70442,0.78043,0.61478,0.68108,0.51088,0.89652,0.000360064,0.000360064,0.000360064
98,4313.14,0.83136,0.63277,1.03747,0.9146,0.7011,0.78415,0.60422,0.71539,0.50857,0.90047,0.000353398,0.000353398,0.000353398
99,4357.28,0.83569,0.6337,1.03466,0.8987,0.70371,0.78209,0.59941,0.72078,0.51692,0.89883,0.000346732,0.000346732,0.000346732
100,4401.44,0.82528,0.63204,1.02785,0.9105,0.70968,0.78299,0.60495,0.71758,0.51207,0.90108,0.000340066,0.000340066,0.000340066
101,4445.75,0.82615,0.62882,1.02786,0.91069,0.71347,0.79033,0.60767,0.7109,0.50009,0.89846,0.0003334,0.0003334,0.0003334
102,4490,0.82065,0.62168,1.0289,0.9004,0.70545,0.78208,0.60177,0.70239,0.51063,0.89456,0.000326734,0.000326734,0.000326734
