epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1864.35,1.0699,0.85773,1.12017,0.90933,0.63646,0.73446,0.51815,0.85449,0.65582,0.95041,0.000606706,0.000606706,0.000606706
61,1895.21,1.07046,0.8698,1.12253,0.87357,0.6395,0.72963,0.5182,0.87935,0.70664,0.96648,0.00060004,0.00060004,0.00060004
62,1925.55,1.05802,0.84592,1.112,0.83435,0.6404,0.71272,0.51505,0.88383,0.70632,0.95851,0.000593374,0.000593374,0.000593374
63,1956.05,1.06988,0.86443,1.12075,0.8673,0.64788,0.72438,0.51249,0.90779,0.68426,0.96126,0.000586708,0.000586708,0.000586708
64,1986.2,1.02674,0.82655,1.10143,0.88943,0.65595,0.7314,0.5284,0.87961,0.66583,0.95961,0.000580042,0.000580042,0.000580042
65,2017.25,1.03521,0.83849,1.10526,0.86627,0.65006,0.72417,0.52386,0.84194,0.67541,0.95688,0.000573376,0.000573376,0.000573376
66,2048.01,1.04251,0.84229,1.11327,0.89819,0.63524,0.72667,0.53514,0.82426,0.66185,0.93616,0.00056671,0.00056671,0.00056671
67,2078.26,1.02063,0.85101,1.10542,0.88481,0.63874,0.73319,0.53176,0.83742,0.64863,0.94688,0.000560044,0.000560044,0.000560044
68,2108.66,1.02901,0.84361,1.11167,0.87588,0.65446,0.73089,0.53084,0.79294,0.65009,0.93447,0.000553378,0.000553378,0.000553378
69,2139.68,1.02332,0.83199,1.10538,0.88948,0.63816,0.73217,0.51336,0.92825,0.67614,0.9632,0.000546712,0.000546712,0.000546712
70,2169.78,1.01749,0.82273,1.09355,0.88212,0.65727,0.738,0.52619,0.82985,0.63935,0.94586,0.000540046,0.000540046,0.000540046
71,2200.46,1.03253,0.83958,1.10309,0.85286,0.6309,0.72255,0.5327,0.80315,0.66494,0.94757,0.00053338,0.00053338,0.00053338
72,2230.81,1.01301,0.81407,1.08772,0.85184,0.65015,0.72992,0.5367,0.77598,0.62339,0.93074,0.000526714,0.000526714,0.000526714
73,2260.81,0.99662,0.79662,1.07926,0.89801,0.63736,0.73514,0.5383,0.82736,0.64074,0.93909,0.000520048,0.000520048,0.000520048
